unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1.5908E+12,30-05-2020 00:00,NEO/USDT,10.234,11.15,10.14,11.03,799316.806,8570803.325,26451
1.59071E+12,29-05-2020 00:00,NEO/USDT,10.421,10.487,10.053,10.242,334535.744,3432027.047,12690
1.59062E+12,28-05-2020 00:00,NEO/USDT,10.02,10.439,9.908,10.429,465146.579,4722054.608,15665
1.59054E+12,27-05-2020 00:00,NEO/USDT,9.934,10.24,9.858,10.009,387313.905,3889246.234,14449
1.59045E+12,26-05-2020 00:00,NEO/USDT,9.912,10.155,9.577,9.935,565348.156,5609662.605,19914
1.59036E+12,25-05-2020 00:00,NEO/USDT,9.631,9.967,9.546,9.923,372364.985,3653120.799,15853
1.59028E+12,24-05-2020 00:00,NEO/USDT,10.194,10.322,9.613,9.631,508818.391,5076990.556,16725
1.59019E+12,23-05-2020 00:00,NEO/USDT,10.38,10.499,10.104,10.203,452774.503,4643290.293,14482
1.59011E+12,22-05-2020 00:00,NEO/USDT,9.538,10.644,9.382,10.388,956846.136,9735705.338,31374
1.59002E+12,21-05-2020 00:00,NEO/USDT,10.135,10.203,9.201,9.537,433911.106,4201461.936,17510
1.58993E+12,20-05-2020 00:00,NEO/USDT,10.314,10.413,9.951,10.14,327109.437,3339216.202,13568
1.58985E+12,19-05-2020 00:00,NEO/USDT,10.246,10.333,9.94,10.328,374564.919,3801020.534,14417
1.58976E+12,18-05-2020 00:00,NEO/USDT,10.149,10.54,10.149,10.245,515636.612,5337527.583,16946
1.58967E+12,17-05-2020 00:00,NEO/USDT,10.005,10.433,9.967,10.156,458253.977,4697993.121,18773
1.58959E+12,16-05-2020 00:00,NEO/USDT,10.026,10.173,9.875,10.008,314474.531,3154316.267,11942
1.5895E+12,15-05-2020 00:00,NEO/USDT,10.19,10.254,9.8,10.033,391920.192,3948278.045,17057
1.58941E+12,14-05-2020 00:00,NEO/USDT,10.285,10.562,9.91,10.186,623168.739,6400187.06,22341
