unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.57118E+12,16-10-2019 00:00,XLM/USDT,0.06389,0.06437,0.06047,0.06171,53065845.3,3300713.977,21176
1.5711E+12,15-10-2019 00:00,XLM/USDT,0.06614,0.06675,0.0622,0.0639,84100929.1,5426408.581,29149
1.57101E+12,14-10-2019 00:00,XLM/USDT,0.06138,0.06616,0.06108,0.06613,58907477.8,3745453.965,23380
1.57092E+12,13-10-2019 00:00,XLM/USDT,0.06082,0.06248,0.06061,0.06136,25568767.4,1579409.603,12266
1.57084E+12,12-10-2019 00:00,XLM/USDT,0.05971,0.06169,0.0597,0.06083,35928975.2,2194098.264,14717
1.57075E+12,11-10-2019 00:00,XLM/USDT,0.06148,0.06269,0.059,0.0597,56269040.9,3408985.781,20138
1.57067E+12,10-10-2019 00:00,XLM/USDT,0.06308,0.06324,0.06071,0.06146,30181573.8,1866401.074,15024
1.57058E+12,09-10-2019 00:00,XLM/USDT,0.06182,0.065,0.06115,0.06308,59997104.5,3777761.077,23467
1.57049E+12,08-10-2019 00:00,XLM/USDT,0.06208,0.06374,0.06071,0.06181,51192294,3171125.151,21538
1.57041E+12,07-10-2019 00:00,XLM/USDT,0.0584,0.06368,0.05789,0.06207,99033648.8,6106409.335,33234
1.57032E+12,06-10-2019 00:00,XLM/USDT,0.05897,0.05924,0.05719,0.05839,32050223.3,1868475.71,14799
1.57023E+12,05-10-2019 00:00,XLM/USDT,0.05864,0.05925,0.0582,0.05895,21513393.8,1262897.322,11223
1.57015E+12,04-10-2019 00:00,XLM/USDT,0.05854,0.0598,0.05751,0.05863,35940116.6,2116453.265,14989
1.57006E+12,03-10-2019 00:00,XLM/USDT,0.05969,0.0598,0.05773,0.0585,26922811.9,1579776.271,12617
1.56997E+12,02-10-2019 00:00,XLM/USDT,0.05857,0.05978,0.05739,0.05968,36649690.6,2148355.139,15960
1.56989E+12,01-10-2019 00:00,XLM/USDT,0.06186,0.06226,0.05775,0.0586,64968879.9,3899760.261,27355
1.5698E+12,30-09-2019 00:00,XLM/USDT,0.05792,0.0622,0.05649,0.06182,87351051.1,5223864.676,32420
1.56972E+12,29-09-2019 00:00,XLM/USDT,0.05835,0.05869,0.05645,0.05791,32139885.6,1853034.116,14457
1.56963E+12,28-09-2019 00:00,XLM/USDT,0.05888,0.05923,0.057,0.05831,48812326.5,2844168.973,19162
1.56954E+12,27-09-2019 00:00,XLM/USDT,0.05842,0.0595,0.05576,0.05888,96155796.5,5578939.769,32538
1.56946E+12,26-09-2019 00:00,XLM/USDT,0.05733,0.0625,0.05365,0.05843,210847531.4,12311465.87,69374
1.56937E+12,25-09-2019 00:00,XLM/USDT,0.05275,0.06029,0.0518,0.05732,115369414.4,6332418.984,40764
