unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.57542E+12,04-12-2019 00:00,XRP/USDT,0.2195,0.22491,0.20952,0.2139,110743259.9,24000030.16,56443
1.57533E+12,03-12-2019 00:00,XRP/USDT,0.21904,0.22182,0.2178,0.21951,34655745.6,7614717.26,21296
1.57524E+12,02-12-2019 00:00,XRP/USDT,0.22471,0.22623,0.21731,0.21914,65856138.9,14526198.88,30561
1.57516E+12,01-12-2019 00:00,XRP/USDT,0.22549,0.2255,0.2186,0.22477,61721844.7,13691786.76,34536
1.57507E+12,30-11-2019 00:00,XRP/USDT,0.22997,0.23192,0.22354,0.2255,48634883,11052152.99,37389
1.57499E+12,29-11-2019 00:00,XRP/USDT,0.22312,0.23229,0.22245,0.22998,59986942.5,13672137.93,51240
1.5749E+12,28-11-2019 00:00,XRP/USDT,0.22408,0.22946,0.22246,0.22313,58823779.6,13310126.06,53416
1.57481E+12,27-11-2019 00:00,XRP/USDT,0.22054,0.2295,0.21259,0.224,119843833.4,26524670.22,94370
1.57473E+12,26-11-2019 00:00,XRP/USDT,0.2173,0.2219,0.21327,0.2206,87574733.7,19092485.28,70183
1.57464E+12,25-11-2019 00:00,XRP/USDT,0.22011,0.225,0.20013,0.21731,227026861.8,48844307.83,138199
1.57455E+12,24-11-2019 00:00,XRP/USDT,0.23409,0.23466,0.21829,0.21989,95589320.7,21702594.78,75283
1.57447E+12,23-11-2019 00:00,XRP/USDT,0.23004,0.23541,0.22526,0.23407,86883225.5,20015819.08,72712
1.57438E+12,22-11-2019 00:00,XRP/USDT,0.24345,0.2459,0.22122,0.23,176993164.6,41301641.15,130275
1.57429E+12,21-11-2019 00:00,XRP/USDT,0.25022,0.25349,0.23613,0.24345,113065484.5,27594274.95,84340
1.57421E+12,20-11-2019 00:00,XRP/USDT,0.25398,0.25861,0.24809,0.25014,78924129.3,19902291.15,63501
1.57412E+12,19-11-2019 00:00,XRP/USDT,0.25174,0.25654,0.243,0.25398,87899568.3,21882500.8,70657
1.57404E+12,18-11-2019 00:00,XRP/USDT,0.26316,0.26318,0.2411,0.25179,99156396.1,25302252.64,76284
1.57395E+12,17-11-2019 00:00,XRP/USDT,0.2622,0.266,0.25891,0.26311,52073288.4,13707451.7,51435
1.57386E+12,16-11-2019 00:00,XRP/USDT,0.2607,0.26444,0.25911,0.26218,52279882,13670861.71,50827
1.57378E+12,15-11-2019 00:00,XRP/USDT,0.26795,0.26952,0.25303,0.26069,111865363.4,29381854.31,88508
1.57369E+12,14-11-2019 00:00,XRP/USDT,0.27207,0.27294,0.26354,0.26795,72326033.6,19366232.44,58326
1.5736E+12,13-11-2019 00:00,XRP/USDT,0.27224,0.27563,0.27013,0.27202,52680673.1,14359109.12,42600
1.57352E+12,12-11-2019 00:00,XRP/USDT,0.27423,0.27641,0.2676,0.27222,77851651.4,21181919.67,69679
1.57343E+12,11-11-2019 00:00,XRP/USDT,0.27899,0.28106,0.26935,0.27423,69450589.5,19091462.71,61589
1.57334E+12,10-11-2019 00:00,XRP/USDT,0.2799,0.284,0.27658,0.27894,72586430.6,20319030.73,62298
1.57326E+12,09-11-2019 00:00,XRP/USDT,0.27546,0.28156,0.2745,0.2799,62848374.8,17509161.48,54961
1.57317E+12,08-11-2019 00:00,XRP/USDT,0.29068,0.291,0.27023,0.27547,165657651.6,46386875.33,111020
1.57308E+12,07-11-2019 00:00,XRP/USDT,0.31016,0.3149,0.27503,0.29061,235871367.3,69353199.83,148684
1.573E+12,06-11-2019 00:00,XRP/USDT,0.30062,0.31367,0.2961,0.31009,107581885.7,32657633.9,85077
1.57291E+12,05-11-2019 00:00,XRP/USDT,0.29863,0.30443,0.29416,0.30061,107569775.1,32311660.74,89982
1.57283E+12,04-11-2019 00:00,XRP/USDT,0.29024,0.2999,0.2891,0.29863,85410877,25105863.27,68956
1.57274E+12,03-11-2019 00:00,XRP/USDT,0.29456,0.29614,0.28855,0.29024,69064994.6,20112216.21,56999
1.57265E+12,02-11-2019 00:00,XRP/USDT,0.29148,0.2975,0.29112,0.29456,72552309.1,21323849.06,61205
1.57257E+12,01-11-2019 00:00,XRP/USDT,0.29459,0.2946,0.28448,0.29146,85376671.8,24809316.47,77869
1.57248E+12,31-10-2019 00:00,XRP/USDT,0.29471,0.29874,0.28777,0.29452,100846140.4,29601327.49,79089
1.57239E+12,30-10-2019 00:00,XRP/USDT,0.30192,0.30636,0.29016,0.29471,117887579.1,35044956.87,93679
1.57231E+12,29-10-2019 00:00,XRP/USDT,0.29443,0.30972,0.29416,0.30192,145791308.2,43828554.09,115277
1.57222E+12,28-10-2019 00:00,XRP/USDT,0.29825,0.3051,0.29309,0.29447,134306597.1,40059342.62,108779
1.57213E+12,27-10-2019 00:00,XRP/USDT,0.29351,0.30213,0.28901,0.29818,180544647.9,53575550.19,129941
1.57205E+12,26-10-2019 00:00,XRP/USDT,0.29839,0.312,0.284,0.29351,270708034.1,80688942.42,187449
1.57196E+12,25-10-2019 00:00,XRP/USDT,0.27597,0.3081,0.2742,0.29829,199230614.5,58012555.97,135872
1.57188E+12,24-10-2019 00:00,XRP/USDT,0.27307,0.28,0.26629,0.27596,99386341.1,27095997.91,82303
1.57179E+12,23-10-2019 00:00,XRP/USDT,0.29041,0.29127,0.25005,0.27306,187716543.6,51332366.5,124254
1.5717E+12,22-10-2019 00:00,XRP/USDT,0.29186,0.30278,0.28862,0.29046,102870808,30355779.12,83538
1.57162E+12,21-10-2019 00:00,XRP/USDT,0.29393,0.2942,0.28826,0.29187,71906227.9,20925101.97,68689
1.57153E+12,20-10-2019 00:00,XRP/USDT,0.29144,0.29615,0.28091,0.29386,111491956.5,32197424.45,84706
1.57144E+12,19-10-2019 00:00,XRP/USDT,0.29404,0.29952,0.287,0.29145,103575426.6,30340201.86,78406
1.57136E+12,18-10-2019 00:00,XRP/USDT,0.30166,0.30207,0.28433,0.29404,133405177.2,38944008.26,91493
1.57127E+12,17-10-2019 00:00,XRP/USDT,0.28334,0.3038,0.27969,0.30167,147918252.3,43648518.98,106027
1.57118E+12,16-10-2019 00:00,XRP/USDT,0.28859,0.29219,0.27858,0.28331,109182836.2,31117606.76,83972
1.5711E+12,15-10-2019 00:00,XRP/USDT,0.29722,0.299,0.283,0.28859,147821843.4,43050670.16,95250
1.57101E+12,14-10-2019 00:00,XRP/USDT,0.27729,0.29779,0.27641,0.29727,151725088,43914160.13,102500
1.57092E+12,13-10-2019 00:00,XRP/USDT,0.27232,0.28138,0.27109,0.27726,70808721.8,19658319.6,68669
